;co2;humidity;temperature;timestamp;month;day;time
9235;416;35.8576;20.4834;5;11;17;05:48:20
9236;414;35.8574;20.4834;5;11;17;05:49:20
9237;421;35.8575;20.4834;5;11;17;05:50:20
9238;421;35.8578;20.4833;5;11;17;05:51:20
9239;418;35.8576;20.4834;5;11;17;05:52:20
9240;418;35.8576;20.4834;5;11;17;05:52:20
9241;417;35.8576;20.4833;5;11;17;05:53:20
9242;418;35.8577;20.4833;5;11;17;05:54:20
9243;418;35.8577;20.4833;5;11;17;05:54:20
9244;421;35.8575;20.4834;5;11;17;05:55:20
9245;421;35.8575;20.4834;5;11;17;05:55:20
9246;424;35.8581;20.4833;5;11;17;05:56:20
9247;420;35.8566;20.4835;5;11;17;05:57:20
9248;416;35.8567;20.4836;5;11;17;05:58:20
9249;420;35.8555;20.4836;5;11;17;05:59:20
9250;418;35.8548;20.4837;5;11;17;06:00:20
9251;417;35.8544;20.4837;5;11;17;06:01:20
9252;422;35.8536;20.4837;5;11;17;06:02:20
9253;426;35.8526;20.4837;5;11;17;06:03:20
9254;419;35.8518;20.4837;5;11;17;06:04:20
9255;411;35.8512;20.4837;5;11;17;06:05:20
9256;414;35.85;20.4837;5;11;17;06:06:20
9257;415;35.8499;20.4837;5;11;17;06:07:20
9258;422;35.8495;20.4836;5;11;17;06:08:20
9259;420;35.84900000000001;20.4836;5;11;17;06:09:20
9260;421;35.8486;20.4835;5;11;17;06:10:20
9261;424;35.8476;20.4836;5;11;17;06:11:20
9262;422;35.8475;20.4835;5;11;17;06:12:20
9263;420;35.8474;20.4835;5;11;17;06:13:20
9264;425;35847;20.4835;5;11;17;06:14:20
9265;423;35.8466;20.4833;5;11;17;06:15:20
9266;416;35.8458;20.4834;5;11;17;06:16:20
9267;419;35.8462;20.4833;5;11;17;06:17:20
9268;421;35.8459;20.4833;5;11;17;06:18:20
9269;425;35.8453;20.4832;5;11;17;06:19:20
9270;428;35.8446;20.4832;5;11;17;06:20:20
9271;422;35.8449;20.4832;5;11;17;06:21:20
9272;424;35.8438;20.4832;5;11;17;06:22:20
9273;424;35.8438;20.4832;5;11;17;06:22:20
9274;422;35844;20.4831;5;11;17;06:23:20
9275;420;35.8435;20.4832;5;11;17;06:24:20
9276;425;35.8435;20.4832;5;11;17;06:25:20
9277;423;35.8431;20.4831;5;11;17;06:26:20
9278;426;35.8431;20.4831;5;11;17;06:27:20
9279;423;35.8419;20.4831;5;11;17;06:28:20
9280;423;35.8415;20.4831;5;11;17;06:29:20
9281;423;35.8415;20.4831;5;11;17;06:29:20
9282;428;35.8414;20483;5;11;17;06:30:20
9283;427;35.8408;20483;5;11;17;06:31:20
9284;424;35.8402;20.4831;5;11;17;06:32:20
9285;424;33.3054;20.4831;5;11;17;06:33:20
9286;420;35.8402;20483;5;11;17;06:34:20
9287;420;35.8402;20483;5;11;17;06:34:20
9288;424;35.8401;20483;5;11;17;06:35:20
9289;423;35.84;20.4831;5;11;17;06:36:20
9290;426;33.3049;20.4831;5;11;17;06:37:20
9291;420;33.3048;20483;5;11;17;06:38:20
9292;424;33.3044;20.4831;5;11;17;06:39:20
9293;423;33.3042;20483;5;11;17;06:40:20
9294;424;33.3035;20.4831;5;11;17;06:41:20
9295;421;33.3036;20.4831;5;11;17;06:42:20
9296;424;33.3036;20.4831;5;11;17;06:43:20
9297;428;33.3034;20.4831;5;11;17;06:44:20
